No.,Tweet ID
791,[['1350578658981912579']]
792,[['1452283261087064083']]
793,[['1389820693806714880']]
794,[['1350567036108333059']]
795,[['1452706210852053000']]
796,[['1389667544219504645']]
797,[['1349985826923544578']]
798,[['1451909162380800006']]
799,[['1389677256667246592']]
800,[['1452334035112505348']]
801,[['1451608451839365154']]
802,[['1391369863759806465']]
803,[['1452583615292973066']]
804,[['1450361200408244225']]
805,[['1389737750241419266']]
806,[['1452131915478220800']]
807,[['1351188617524355077']]
808,[['1351936663560224772']]
809,[['1243055455200514049']]
810,[['1352266085957947392']]
811,[['1352227533694136322']]
812,[['1351556155303145476']]
813,[['1452693032634134538']]
814,[['1452178048443469828']]
815,[['1451144930525650947']]
816,[['1389579340032004104']]
817,[['1350793831218868224']]
818,[['1351278629972553733']]
819,[['1352237365977374720']]
820,[['1391310238444359689']]
821,[['1350290595248529411']]
822,[['1452107757801328640']]
823,[['1451166966526382084']]
824,[['1452237938176270339']]
825,[['1451152845726683138']]
826,[['1451165501510590477']]
827,[['1451482448244756484']]
828,[['1389453570769137668']]
829,[['1452693386453045250']]
830,[['1351576794076491781']]
831,[['1350062505121480705']]
832,[['1452539958900793345']]
833,[['1452550096256655374']]
834,[['1350103844622110720']]
835,[['1451135344930402308']]
836,[['1242885077023051778']]
837,[['1450762268107489283']]
838,[['1451415304307888160']]
839,[['1450775571428954114']]
840,[['1389819988509446147']]
841,[['1389520107139969027']]
842,[['1451972455417921543']]
843,[['1350379440963022848']]
844,[['1351965291400540167']]
845,[['1450439070413434889']]
846,[['1350891396748648448']]
847,[['1450808499953360900']]
848,[['1390215527784660998']]
849,[['1350905770515292160']]
850,[['1240926441342107648']]
851,[['1389456731323916291']]
852,[['1451671963974393859']]
853,[['1349994189824679939']]
854,[['1451543359181438994']]
855,[['1350420998617767936']]
856,[['1390198085263974408']]
857,[['1350744499912376320']]
858,[['1452182749931089926']]
859,[['1352070241321439232']]
860,[['1350368384446300161']]
861,[['1451474612827705393']]
862,[['1352237480960000002']]
863,[['1450844128762286080']]
864,[['1451439425779650560']]
865,[['1391790225295351810']]
866,[['1351844256437194757']]
867,[['1350004005573951494']]
868,[['1391770147564752900']]
869,[['1451537422051942400']]
870,[['1390863137314721796']]
871,[['1242932446141784068']]
872,[['1390580625455951874']]
873,[['1451053177554546692']]
874,[['1451972093894139911']]
875,[['1452669341544103938']]
876,[['1350759675462082560']]
877,[['1352196356086108160']]
878,[['1391615331530153989']]
879,[['1451498043505774599']]
880,[['1452771391158292480']]
881,[['1390687119065194500']]
882,[['1242020354522038272']]
883,[['1450456333015306243']]
884,[['1391588762975625217']]
885,[['1452233717901139970']]
886,[['1390787747628163073']]
887,[['1452624679567515650']]
888,[['1351458745025490945']]
889,[['1242396802667761664']]
890,[['1390632602374184960']]
891,[['1451142675114168327']]
892,[['1350185787040681991']]
893,[['1351891690680938502']]
894,[['1350068537667297280']]
